,rank,something,movie,distributor,gross,change,theatres,per_theatre,total_gross,days,date,year,month,day,actor1,actor2,actor3,actor4,actor5,runtime,rating,genre,release_type,previous_week_gross,previous_week_theaters
0,1,(1),Thor: Ragnarok,Walt Disney,"$57,078,306",-53%,"4,080","$13,990","$212,068,013",2,2017-11-10,2017,11,10,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Idris Elba,Jeff Goldblum,130,PG-13,Action,Wide,"$57,078,306","4,080"
1,2,new,Daddyâ??s Home 2,Paramount Pictures,"$29,651,193",,"3,575","$8,294","$29,651,193",1,2017-11-10,2017,11,10,Will Ferrell,Mark Wahlberg,Mel Gibson,John Lithgow,Linda Cardellini,100,PG-13,Comedy,Wide,"$29,651,193","3,575"
2,3,new,Murder on the Orient Express,20th Century Fox,"$28,681,472",,"3,341","$8,585","$28,681,472",1,2017-11-10,2017,11,10,Kenneth Branagh,PenÃ©lope Cruz,Willem Dafoe,Judi Dench,Johnny Depp,114,PG-13,Production Countries:,Wide,"$28,681,472","3,341"
3,4,(2),A Bad Moms Christmas,STX Entertainment,"$11,468,964",-32%,"3,615","$3,173","$39,832,590",2,2017-11-10,2017,11,10,Mila Kunis,Kristen Bell,Kathryn Hahn,Cheryl Hines,Christine Baranski,104,R,Comedy,Wide,"$11,468,964","3,615"
4,5,(3),Jigsaw,Lionsgate,"$3,424,319",-48%,"2,651","$1,292","$34,358,412",3,2017-11-10,2017,11,10,Matt Passmore,Callum Keith Rennie,Cle Bennett,Hannah Emily Anderson,Laura Vandervoort,91,R,Horror,Wide,"$3,424,319","2,651"
5,6,(4),Tyler Perryâ??s Boo 2! A Ma…,Lionsgate,"$2,001,108",-56%,"1,900","$1,053","$45,851,571",4,2017-11-10,2017,11,10,Tyler Perry,Cassi Davis,Patrice Lovely,Yousef Erakat,Diamond White,100,PG-13,Comedy,Wide,"$2,001,108","1,900"
6,7,(5),Geostorm,Warner Bros.,"$1,641,680",-49%,"1,685",$974,"$31,720,572",4,2017-11-10,2017,11,10,Gerard Butler,Jim Sturgess,Abbie Cornish,Ed Harris,Andy Garcia,109,PG-13,Action,Wide,"$1,641,680","1,685"
7,8,(7),Blade Runner 2049,Warner Bros.,"$1,460,463",-37%,863,"$1,692","$88,051,760",6,2017-11-10,2017,11,10,Ryan Gosling,Harrison Ford,Jared Leto,Ana de Armas,Sylvia Hoeks,164,R,Thriller/Suspense,Wide,"$1,460,463",863
8,9,(6),Happy Death Day,Universal,"$1,266,440",-53%,"1,564",$810,"$54,908,045",5,2017-11-10,2017,11,10,Jessica Rothe,Israel Broussard,Ruby Modine,Charles Aitken,Laura Clifton,96,PG-13,Thriller/Suspense,Wide,"$1,266,440","1,564"
9,10,(26),Lady Bird,A24,"$1,199,748",+229%,37,"$32,426","$1,731,828",2,2017-11-10,2017,11,10,Saoirse Ronan,Laurie Metcalf,Lucas Hedges,Tracy Letts,None,90,R,None,Limited,"$1,199,748",37
10,11,(10),Let There Be Light,Atlas Distribution,"$1,114,560",-34%,774,"$1,440","$5,939,454",3,2017-11-10,2017,11,10,Kevin Sorbo,Sam Sorbo,Daniel Roebuck,Donielle Artese,Braeden Sorbo,100,PG-13,Drama,Limited,"$1,114,560",774
11,12,(9),Only the Brave,Sony Pictures,"$936,889",-51%,"1,207",$776,"$17,060,805",4,2017-11-10,2017,11,10,Josh Brolin,Miles Teller,Jeff Bridges,James Badge Dale,Taylor Kitsch,134,PG-13,Drama,Wide,"$936,889","1,207"
12,13,(8),Thank You for Your Service,Universal,"$853,295",-61%,"1,348",$633,"$9,063,685",3,2017-11-10,2017,11,10,Miles Teller,Haley Bennett,Joe Cole,Amy Schumer,Beulah Koale,108,R,Drama,Wide,"$853,295","1,348"
13,14,(18),The Lego Ninjago Movie,Warner Bros.,"$801,680",+1%,771,"$1,040","$58,524,340",8,2017-11-10,2017,11,10,Jackie Chan,Justin Theroux,Dave Franco,Olivia Munn,Fred Armisen,101,PG,Adventure,Wide,"$801,680",771
14,15,(11),The Foreigner,STX Entertainment,"$781,257",-51%,737,"$1,060","$33,474,379",5,2017-11-10,2017,11,10,Jackie Chan,Pierce Brosnan,Liu Tao,Katie Leung,Manolo Cardona,116,R,Action,Wide,"$781,257",737
15,16,(12),Victoria and Abdul,Focus Features,"$677,906",-44%,637,"$1,064","$21,140,610",8,2017-11-10,2017,11,10,Judi Dench,Ali Fazal,Eddie Izzard,Adeel Akhtar,Michael Gambon,112,PG-13,Drama,Limited,"$677,906",637
16,17,(19),The Florida Project,A24,"$540,507",-15%,229,"$2,360","$3,800,385",6,2017-11-10,2017,11,10,Willem Dafoe,None,None,None,None,115,R,Drama,Limited,"$540,507",229
17,18,(21),Loving Vincent,Good Deed Entertain…,"$515,140",-14%,212,"$2,430","$3,934,014",8,2017-11-10,2017,11,10,Douglas Booth,Saoirse Ronan,Jerome Flynn,Chris O'Dowd,Eleanor Tomlinson,95,PG-13,Drama,Limited,"$515,140",212
18,19,(14),LBJ,Electric Entertainment,"$509,000",-54%,608,$837,"$2,084,946",2,2017-11-10,2017,11,10,Woody Harrelson,Jennifer Jason Leigh,Richard Jenkins,Bill Pullman,Jeffrey Donovan,90,R,Drama,Limited,"$509,000",608
19,20,(20),My Little Pony: The Movie,Lionsgate,"$508,815",-16%,592,$859,"$21,520,056",6,2017-11-10,2017,11,10,Emily Blunt,Kristin Chenoweth,Liev Schreiber,Michael PeÃ±a,Sia Furler,99,PG,Adventure,Wide,"$508,815",592
20,21,(25),The Killing of a Sacred Deer,A24,"$460,897",+17%,238,"$1,937","$1,544,076",4,2017-11-10,2017,11,10,Yorgos Lanthimos,None,None,None,None,109,R,Horror,Limited,"$460,897",238
